symbol,name,price,market_cap,volume_24h,price_change_24h,price_change_7d,rsi,score,reason,timestamp
AERO,Aerodrome Finance,0.900069,756166320,154078103.0,6.91891,0,75.87246647889413,50,"价格趋势上升信号, 市场走势: 强势上升",20250619_234622
SNT,Status,0.055189,218368110,174698176.0,9.82046,0,93.14243732450811,50,"价格趋势上升信号, 市场走势: 强势上升",20250619_234622
BCH,Bitcoin Cash,483.41,9613204861,450253679.0,3.90213,0,69.83309294421937,45,"价格趋势上升信号, 市场走势: 强势上升",20250619_234622
WBT,WhiteBIT Coin,49.44,7127414613,53533692.0,0.53385,0,83.85627922788822,45,"价格趋势上升信号, 市场走势: 强势上升",20250619_234622
UNI,Uniswap,7.49,4496360494,562317186.0,-0.46925,0,66.28106075732072,45,"价格趋势上升信号, 市场走势: 强势上升",20250619_234622
KAIA,Kaia,0.169268,991415370,95194780.0,4.91375,0,76.4509641167137,45,"价格趋势上升信号, 市场走势: 强势上升",20250619_234622
SYRUP,Maple Finance,0.490663,527098714,76824691.0,-2.27223,0,77.6066735341415,45,"价格趋势上升信号, 市场走势: 强势上升",20250619_234622
XCN,Onyxcoin,0.01379581,467516991,24001006.0,0.66893,0,48.0641125882809,45,"价格趋势上升信号, 市场走势: 强势上升",20250619_234622
JTO,Jito,2.29,775249444,70084040.0,6.45317,0,70.86820495826683,40,"价格趋势上升信号, 市场走势: 上升趋势",20250619_234622
RAY,Raydium,2.21,589436524,497321276.0,9.58104,0,53.897647696394316,40,"价格趋势上升信号, 市场走势: 上升趋势",20250619_234622
TEL,Telcoin,0.0041176,378417711,3385960.0,5.98646,0,53.37563879452821,40,"价格趋势上升信号, 市场走势: 上升趋势",20250619_234622
AB,AB,0.01483163,946165951,3228862016.0,-2.4547,0,95.65854252623285,35,"价格趋势上升信号, 市场走势: 上升趋势",20250619_234622
TRIP,Trip,9.24,271809127,107.81,0.32071,0,94.15541833291434,35,"价格趋势上升信号, 市场走势: 上升趋势",20250619_234622
SFP,SafePal,0.484094,242047443,2784062.0,0.42518,0,59.474827540055976,35,"价格趋势上升信号, 市场走势: 上升趋势",20250619_234622
IOTX,IoTeX,0.02202783,207999066,6570010.0,-3.19523,0,64.09411279936793,35,"价格趋势上升信号, 市场走势: 上升趋势",20250619_234622
